order_item_id,order_id,product_id,quantity,unit_price,discount_pct
1,900001,5030,4,55000.00,0.10
2,900001,5002,2,150000.00,0.15
3,900002,5019,3,12500.00,0.00
4,900002,5020,6,150000.00,0.00
5,900002,5004,4,125000.00,0.10
6,900003,5026,3,10000.00,0.00
7,900003,5004,4,125000.00,0.05
8,900004,5019,2,12500.00,0.00
9,900004,5022,6,15000.00,0.10
10,900004,5025,4,15000.00,0.00
11,900005,5016,2,99000.00,0.00
12,900005,5011,4,7500.00,0.00
13,900006,5001,2,25000.00,0.00
14,900006,5009,1,15000.00,0.00
15,900006,5021,2,45000.00,0.00
16,900006,5012,5,20000.00,0.15
17,900006,5023,6,45000.00,0.10
18,900007,5008,5,5000.00,0.00
19,900007,5005,6,125000.00,0.00
20,900007,5016,4,99000.00,0.10
21,900007,5015,6,15000.00,0.10
22,900007,5024,2,99000.00,0.05
23,900008,5023,1,45000.00,0.00
24,900008,5012,5,20000.00,0.15
25,900008,5003,2,20000.00,0.05
26,900008,5030,2,55000.00,0.00
27,900008,5019,5,12500.00,0.00
28,900009,5015,4,15000.00,0.00
29,900009,5026,1,10000.00,0.05
30,900009,5002,6,150000.00,0.10
31,900009,5005,6,125000.00,0.00
32,900009,5017,3,30000.00,0.10
33,900010,5012,1,20000.00,0.15
34,900010,5023,1,45000.00,0.20
35,900010,5003,4,20000.00,0.00
36,900010,5018,4,12500.00,0.00
37,900011,5029,4,99000.00,0.00
38,900011,5013,6,30000.00,0.20
39,900011,5015,5,15000.00,0.00
40,900012,5017,1,30000.00,0.10
41,900012,5005,3,125000.00,0.00
42,900012,5024,6,99000.00,0.00
43,900012,5008,5,5000.00,0.00
44,900013,5007,6,15000.00,0.10
45,900013,5030,1,55000.00,0.10
46,900013,5029,4,99000.00,0.05
47,900014,5004,5,125000.00,0.00
48,900015,5013,4,30000.00,0.00
49,900016,5008,6,5000.00,0.05
50,900016,5027,5,7500.00,0.05
51,900016,5030,6,55000.00,0.10
52,900017,5014,3,75000.00,0.00
53,900017,5010,5,99000.00,0.10
54,900018,5016,4,99000.00,0.10
55,900018,5002,3,150000.00,0.05
56,900018,5012,4,20000.00,0.00
57,900018,5021,4,45000.00,0.00
58,900018,5022,5,15000.00,0.00
59,900019,5030,4,55000.00,0.05
60,900019,5002,2,150000.00,0.00
61,900019,5018,3,12500.00,0.00
62,900019,5014,6,75000.00,0.00
63,900020,5002,4,150000.00,0.05
64,900020,5009,5,15000.00,0.00
65,900021,5016,3,99000.00,0.00
66,900021,5007,1,15000.00,0.00
67,900022,5023,6,45000.00,0.00
68,900022,5020,2,150000.00,0.05
69,900023,5010,5,99000.00,0.10
70,900023,5009,4,15000.00,0.00
71,900023,5012,6,20000.00,0.00
72,900024,5002,6,150000.00,0.00
73,900024,5019,3,12500.00,0.05
74,900024,5028,5,55000.00,0.05
75,900024,5008,4,5000.00,0.00
76,900025,5016,6,99000.00,0.15
77,900025,5018,3,12500.00,0.00
78,900026,5006,2,10000.00,0.00
79,900026,5024,5,99000.00,0.00
80,900026,5026,5,10000.00,0.20
81,900026,5012,1,20000.00,0.00
82,900027,5014,2,75000.00,0.10
83,900028,5017,3,30000.00,0.00
84,900028,5015,6,15000.00,0.05
85,900029,5001,5,25000.00,0.05
86,900030,5010,6,99000.00,0.00
87,900030,5001,2,25000.00,0.00
88,900030,5017,1,30000.00,0.00
89,900030,5027,2,7500.00,0.00
90,900030,5023,5,45000.00,0.00
91,900031,5015,2,15000.00,0.00
92,900031,5019,1,12500.00,0.05
93,900031,5008,6,5000.00,0.10
94,900031,5023,1,45000.00,0.00
95,900032,5003,4,20000.00,0.05
96,900032,5016,3,99000.00,0.05
97,900033,5029,6,99000.00,0.10
98,900033,5028,4,55000.00,0.00
99,900034,5022,3,15000.00,0.00
100,900034,5002,2,150000.00,0.05
101,900034,5006,6,10000.00,0.10
102,900034,5030,1,55000.00,0.00
103,900034,5028,5,55000.00,0.00
104,900035,5013,2,30000.00,0.10
105,900035,5025,6,15000.00,0.05
106,900035,5024,5,99000.00,0.05
107,900036,5011,5,7500.00,0.10
108,900037,5026,2,10000.00,0.00
109,900037,5015,4,15000.00,0.00
110,900037,5016,6,99000.00,0.05
111,900038,5003,3,20000.00,0.00
112,900039,5012,1,20000.00,0.15
113,900039,5004,4,125000.00,0.00
114,900039,5003,3,20000.00,0.00
115,900040,5017,3,30000.00,0.05
116,900040,5014,5,75000.00,0.05
117,900040,5004,3,125000.00,0.10
118,900040,5001,1,25000.00,0.00
119,900040,5003,4,20000.00,0.10
120,900041,5006,3,10000.00,0.00
121,900041,5022,2,15000.00,0.00
122,900041,5013,4,30000.00,0.00
123,900041,5005,3,125000.00,0.00
124,900041,5009,1,15000.00,0.00
125,900042,5007,1,15000.00,0.15
126,900042,5015,3,15000.00,0.10
127,900042,5004,4,125000.00,0.10
128,900042,5005,3,125000.00,0.00
129,900042,5010,4,99000.00,0.10
130,900043,5020,4,150000.00,0.00
131,900043,5023,4,45000.00,0.20
132,900043,5007,3,15000.00,0.05
133,900044,5009,3,15000.00,0.00
134,900044,5027,5,7500.00,0.00
135,900044,5026,5,10000.00,0.00
136,900044,5013,5,30000.00,0.00
137,900045,5027,4,7500.00,0.05
138,900045,5023,2,45000.00,0.05
139,900045,5003,2,20000.00,0.00
140,900046,5020,5,150000.00,0.00
141,900046,5016,6,99000.00,0.00
142,900046,5019,1,12500.00,0.10
143,900046,5013,3,30000.00,0.05
144,900047,5025,2,15000.00,0.05
145,900048,5021,4,45000.00,0.00
146,900048,5022,1,15000.00,0.00
147,900048,5013,5,30000.00,0.05
148,900048,5025,5,15000.00,0.05
149,900048,5011,5,7500.00,0.00
150,900049,5005,3,125000.00,0.00
151,900049,5012,1,20000.00,0.00
152,900049,5001,6,25000.00,0.00
153,900049,5016,3,99000.00,0.00
154,900049,5004,2,125000.00,0.00
155,900050,5003,6,20000.00,0.00
156,900050,5010,3,99000.00,0.05
157,900050,5002,6,150000.00,0.10
158,900051,5006,2,10000.00,0.10
159,900051,5011,6,7500.00,0.00
160,900051,5018,6,12500.00,0.05
161,900051,5014,4,75000.00,0.00
162,900051,5015,5,15000.00,0.10
163,900052,5007,6,15000.00,0.10
164,900052,5009,1,15000.00,0.05
165,900053,5007,3,15000.00,0.05
166,900053,5015,4,15000.00,0.00
167,900053,5004,6,125000.00,0.00
168,900054,5012,5,20000.00,0.00
169,900054,5028,6,55000.00,0.05
170,900054,5015,3,15000.00,0.15
171,900055,5008,3,5000.00,0.00
172,900056,5020,4,150000.00,0.00
173,900056,5005,6,125000.00,0.00
174,900056,5019,6,12500.00,0.15
175,900056,5013,2,30000.00,0.05
176,900057,5020,1,150000.00,0.00
177,900057,5002,2,150000.00,0.10
178,900057,5028,5,55000.00,0.00
179,900057,5012,4,20000.00,0.00
