order_id,customer_id,store_id,order_date,status,payment_method
900001,1371,23,2025-01-20,Completed,Kartu Kredit
900002,1493,23,2025-05-29,Completed,QRIS
900003,1069,23,2025-09-16,Completed,Kartu Debit
900004,1368,12,2025-01-08,Cancelled,Kartu Debit
900005,1045,16,2025-12-09,Completed,E-Wallet
900006,1386,14,2025-06-18,Completed,Tunai
900007,1354,11,2025-11-24,Completed,Kartu Debit
900008,1306,23,2025-02-11,Pending,Kartu Kredit
900009,1349,13,2025-10-26,Completed,QRIS
900010,1382,13,2025-10-24,Completed,QRIS
900011,1070,22,2025-11-25,Cancelled,Kartu Kredit
900012,1441,15,2025-03-02,Completed,Tunai
900013,1118,13,2025-08-24,Completed,E-Wallet
900014,1480,24,2025-01-09,Completed,E-Wallet
900015,1307,20,2025-12-27,Completed,E-Wallet
900016,1112,22,2025-01-29,Completed,Tunai
900017,1122,14,2025-03-15,Cancelled,Tunai
900018,1467,12,2025-11-17,Cancelled,Kartu Kredit
900019,1435,13,2025-06-03,Cancelled,E-Wallet
900020,1231,23,2025-07-09,Completed,Tunai
900021,1038,13,2025-10-28,Cancelled,Tunai
900022,1098,21,2025-03-02,Cancelled,Kartu Kredit
900023,1398,14,2025-07-14,Completed,Tunai
900024,1430,15,2025-04-15,Completed,Kartu Debit
900025,1101,15,2025-04-28,Completed,Tunai
900026,1421,17,2025-11-25,Cancelled,Kartu Kredit
900027,1430,23,2025-02-08,Cancelled,QRIS
900028,1119,11,2025-12-29,Completed,QRIS
900029,1316,24,2025-09-05,Cancelled,Kartu Kredit
900030,1007,10,2025-09-29,Cancelled,Kartu Debit
900031,1182,14,2025-07-23,Completed,Kartu Debit
900032,1194,18,2025-09-01,Completed,QRIS
900033,1440,11,2025-09-28,Completed,E-Wallet
900034,1474,11,2025-12-17,Completed,Tunai
900035,1428,23,2025-07-19,Cancelled,Tunai
900036,1178,10,2025-02-20,Completed,E-Wallet
900037,1489,19,2025-07-23,Completed,QRIS
900038,1195,11,2025-11-13,Completed,E-Wallet
900039,1365,22,2025-11-21,Completed,Kartu Kredit
900040,1045,12,2025-08-09,Completed,Tunai
900041,1372,24,2025-10-14,Completed,Tunai
900042,1484,13,2025-11-17,Completed,Tunai
900043,1441,20,2025-11-01,Completed,Kartu Debit
900044,1325,17,2025-10-22,Completed,Kartu Debit
900045,1373,17,2025-12-29,Completed,Kartu Kredit
900046,1079,21,2025-08-05,Completed,QRIS
900047,1416,18,2025-11-01,Cancelled,QRIS
900048,1182,12,2025-11-28,Pending,QRIS
900049,1192,16,2025-08-26,Cancelled,Tunai
900050,1179,17,2025-02-19,Completed,Kartu Kredit
900051,1477,21,2025-05-05,Pending,E-Wallet
900052,1231,19,2025-08-08,Completed,QRIS
900053,1410,23,2025-10-02,Completed,Kartu Debit
900054,1199,19,2025-07-20,Pending,QRIS
900055,1303,11,2025-12-11,Completed,Kartu Debit
900056,1192,21,2025-03-14,Pending,Kartu Kredit
900057,1251,14,2025-03-13,Completed,Kartu Debit
900058,1252,16,2025-12-30,Completed,Kartu Kredit
900059,1141,13,2025-10-03,Completed,E-Wallet
900060,1388,10,2025-08-14,Pending,E-Wallet
900061,1061,22,2025-05-02,Completed,Tunai
900062,1413,10,2025-10-19,Completed,Tunai
900063,1264,24,2025-12-14,Completed,E-Wallet
900064,1347,16,2025-09-08,Completed,Tunai
900065,1480,24,2025-07-08,Completed,Kartu Kredit
900066,1033,22,2025-10-01,Completed,E-Wallet
900067,1458,20,2025-01-25,Completed,QRIS
900068,1452,20,2025-06-04,Completed,Kartu Debit
900069,1191,20,2025-11-29,Completed,QRIS
900070,1116,18,2025-12-15,Completed,QRIS
900071,1441,16,2025-12-22,Completed,Kartu Kredit
900072,1413,11,2025-02-22,Completed,Kartu Debit
900073,1313,20,2025-03-26,Completed,Kartu Debit
900074,1441,13,2025-02-14,Completed,E-Wallet
900075,1494,16,2025-06-11,Completed,E-Wallet
900076,1434,20,2025-06-04,Completed,Tunai
900077,1007,15,2025-06-12,Completed,Kartu Kredit
900078,1204,18,2025-05-27,Cancelled,Tunai
900079,1499,22,2025-03-21,Pending,Kartu Debit
900080,1045,24,2025-08-11,Completed,Kartu Kredit
900081,1401,23,2025-05-13,Completed,Kartu Debit
900082,1016,15,2025-08-08,Completed,Tunai
900083,1322,11,2025-09-12,Completed,Tunai
900084,1346,21,2025-03-01,Completed,Tunai
900085,1242,15,2025-07-16,Completed,E-Wallet
900086,1215,13,2025-06-14,Completed,Kartu Kredit
900087,1412,18,2025-01-24,Completed,QRIS
900088,1125,17,2025-07-08,Pending,Kartu Kredit
900089,1478,16,2025-01-13,Completed,Tunai
900090,1373,14,2025-02-23,Completed,Tunai
900091,1048,10,2025-04-29,Pending,Kartu Kredit
900092,1291,10,2025-08-11,Cancelled,E-Wallet
900093,1377,15,2025-06-12,Completed,Kartu Debit
900094,1055,12,2025-08-19,Completed,Kartu Debit
900095,1361,21,2025-11-05,Completed,E-Wallet
900096,1420,12,2025-01-16,Completed,Kartu Kredit
900097,1323,20,2025-02-13,Pending,Tunai
900098,1048,24,2025-06-19,Completed,QRIS
900099,1466,12,2025-05-21,Completed,Kartu Kredit
900100,1211,24,2025-10-09,Completed,QRIS
900101,1103,20,2025-09-27,Completed,Tunai
900102,1279,22,2025-09-06,Completed,Tunai
900103,1499,12,2025-02-21,Completed,E-Wallet
900104,1430,23,2025-03-30,Completed,E-Wallet
900105,1090,17,2025-01-20,Completed,QRIS
900106,1315,13,2025-03-08,Completed,E-Wallet
900107,1492,11,2025-07-11,Cancelled,Kartu Kredit
900108,1315,22,2025-07-02,Completed,Tunai
900109,1001,21,2025-10-21,Completed,Tunai
900110,1415,19,2025-04-24,Cancelled,Tunai
900111,1382,11,2025-05-02,Completed,Kartu Debit
